Category,Question,Answer
6,Kto uniemożliwia Taurieli dotarcie do Kiliego w czasie walki na Kruczym Wzgórzu?,Bolg
6,Z czyjej ręki ginie Kili?,Z ręki Bolga
6,Z czyjej ręki ginie Fili?,Z ręki Azoga
6,Na czyich oczach ginie Kili?,Bolga i Taurieli
6,Komu Bilbo pomaga odeprzeć atak najętych do walki o Erebor goblinów?,Dwalinowi
6,"Do kogo należy broń, którą Thorin walczy z Azogiem na zamarzniętej fali?",Do Legolasa
6,Kto powstrzymuje wojska z Gundabadu przed ich dotarciem na pole bitwy?,"Orły, Radagast i Beorn"
6,Kto zabija Azoga?,Thorin
6,"Jakie zadanie powierza synowi Thranduil, po Bitwie Pięciu Armii?",Odnalezienie Dunedainów
6,"Jak w dzikich krajach nazywano człowieka, którego po Bitwie Pięciu Armii miał za zadanie znaleźć Legolas?",Nazywano go Obieżyświatem
6,Co spoczywało w dłoniach Thorina w czasie jego pogrzebu?,Arcyklejnot
6,"Kto został nowym królem pod górą, po śmierci Thorina?",Dain
6,O której po południu serwuje się herbatę w Bag End?,O czwartej
6,Gdzie po całej wyprawie rozstają się Gandalf i Bilbo?,Na granicy Shire
6,"Kiedy Gandalf mówi Bilbowi, że wie o jego pierścieniu? ",W czasie ich rozłąki po wyprawie
6,Co Bilbo mówi Gandalfowi o swoim znalezionym w tunelach goblinów pierścieniu?,"Mówi, że zgubił go w czasie bitwy"
6,Jak Bilbo potwierdził swoją tożsamość na aukcji pod Bag End?,Pokazał umowę o pracę z Krasnoludami / kontrakt włamywacza
6,Skąd kompania oglądała atak Smauga na miasto na jeziorze?,Z Kruczego Wzgórza
6,Jakie latające bestie towarzyszyły maszerującej pod wodzą Bolga armii orków?,Nietoperze z Gundabadu
6,Jaka część skarbu należała się Bilbowi?,Jedna czternasta
6,"Co zdaniem umierającego Thorina powinno cenić się bardziej niż złoto, aby świat był lepszym miejscem?",Dom
6,W jaki sposób Bilbo traci przytomność w czasie Bitwy Pięciu Armii,Zostaje trafiony przez Bolga
