Category,Question,Answer
3,Co zmartwiło Froda po spostrzeżeniu kończących się zapasów wody w trakcie wędrówki przez Gorgoroth?,"Zmartwiło go, że nie zostanie nic na powrót"
3,"Ilu konnych pojechało z Aragornem pod samą Czarną Bramę, gdzie przeprowadzono rozmowę z Rzecznikiem Saurona?",Czterech
3,Jaki przedmiot Rzecznik Saurona przekazuje Gandalfowi?,Mithrilową kolczugę
3,"Kto i w jaki sposób, kończy żywot Rzecznika Saurona?",Aragorn poprzez ścięcie głowy
3,Co według Sama zasieją na wiosne na polach w Shire? ,Jęczmień
3,O smak jakiego owocu pyta Froda Sam w Mordorze?,Truskawki
3,Jakie słowa wypowiada Aragorn przed rozpoczęciem bitwy pod Czarną Bramą?,Dla Froda
3,"Gdzie po raz pierwszy jeden z dwójki Legolas, Gimli, nazywa drugiego przyjacielem? Który z nich?",Legolas pod Czarną Bramą
3,"Co zwiastuje siłom dobra nadchodzące posiłki, w czasie bitwy pod Czarną Bramą?",Ćma
3,Kto jako ostatni staje hobbitom na drodze do Góry Przeznaczenia?,Gollum
3,"Gdzie Smigol przyznaje się Frodowi, że oszukał go przysięgając na skarb?",Pod Górą Przeznaczenia
3,W jaki sposób Frodo traci pierścień podczas potyczki w Górze Przeznaczenia?,Gollum odgryza mu palec z pierścieniem
3,Który palec stracił Frodo?,Wskazujący w lewej ręce
3,Kto pokonuje Aragorna w pojedynku w czasie bitwy pod Czarną Bramą?,Troll
3,"Jaką rzekę widzi Frodo w swojej wizji dotyczącej Shire, w Mordorze po zniszczeniu pierścienia?",Brandywine
3,Kto zjawia się po hobbitów leżących na skale wśród lawy przy Górze Przeznaczenia?,Gandalf i orły
3,"W jakiej kolejności członkowie drużyny pierścienia, zjawiali się w pokoju Froda w Rivendell po jego przebudzeniu?",1. Gandalf 2. Merry i Pippin 3. Gimli 4. Legolas 5. Aragorn 6. Sam 
3,Kto był odpowiedzialny za podanie Gandalfowi korony w czasie Koronacji Aragorna?,Gimli
3,Jakie wydarzenie kończy Trzecią Erę śródziemia?,Koniec Wojny o Pierścień/Śmierć Saurona
3,"Po jakim czasie od wyruszenia w podróż z Shire, czwórka hobbitów wróciła do domu?",Po trzynastu miesiącach
3,Kto łapie bukiet kwiatów podczas ślubu Sama i Różyczki?,Pippin
3,"Ile czasu minęło pomiędzy spotkaniem hobbitów z Nazgulami na Wichrowym Czubie, a zakończeniem pisania książki przez Froda?",Cztery lata
3,"Kto uronił łzę podczas wizyty w pokoju Froda w Rivendell, po pokonaniu Saurona?",Gimli
3,W którym momencie elfie pierścienie straciły moc?,Gdy zniszczono jedyny pierścień
3,Ilu bohaterów wyrusza ostatnim statkiem do Nieśmiertelnych Krain?,Sześciu
3,Jacy bohaterowie wyruszają ostatnim statkiem do Nieśmiertelnych Krain po upadku Saurona?,"Bilbo, Frodo, Gandalf, Elrond, Galadriela, Celeborn"
3,Kto jest  świadkiem opuszczenia Szarej Przystani przez Bilba i resztę załogi ostatniego statku za morze?,"Merry, Pippin, Sam"
3,Jak tytuł miała książka przekazana Samowi przez Froda?,"""Tam i z powrotem, opowieść Hobbita"""
3,"Wymień autorów książki ""Tam i z powrotem, opowieść Hobbita""?","Biblo, Frodo, Sam"
3,Gdzie Frodo przekazuje Samowi książkę rozpoczętą przez Bilba?,W Szarej Przystani
